isBought,gender,education,house_val,MinAge,MaxAge,online,customer_psy,marriage,child,occupation,mortgage,house_owner,region,car_prob,fam_income
Yes,Female,Near high school,356560,46,55,Yes,B,Married,Yes,Sales/Service,Medium,Owner,South,1,7
No,Male,High school,247746,46,55,Yes,B,Married,No,Blue Collar,Low,Owner,Midwest,8,5
No,Female,Some College,0,1,25,Yes,G,Single,Yes,Sales/Service,Low,Renter,West,3,1
No,Female,Graduated,248520,66,100,Yes,D,Married,No,Professional,Low,Owner,Northeast,4,5
No,Female,Near high school,0,36,45,No,G,Single,Yes,Sales/Service,Low,Renter,South,9,1
No,Female,High school,0,1,100,Yes,I,Single,No,Sales/Service,Low,Owner,West,9,1
No,Male,Near high school,121753,1,100,No,G,Single,Yes,Sales/Service,Low,Renter,Northeast,2,1
No,Female,Graduated,735750,1,100,No,B,Married,No,Professional,High,Owner,Midwest,6,10
No,Female,High school,36029,46,55,Yes,I,Single,Yes,Sales/Service,Low,Owner,South,8,2
Yes,Male,Graduated,0,26,35,Yes,F,Single,No,Blue Collar,Low,Renter,Northeast,3,4
Yes,Male,Bachelor,296741,56,65,Yes,C,Married,Yes,Professional,High,Owner,Northeast,1,8
Yes,Male,Bachelor,1383733,56,65,Yes,B,Single,No,Professional,Low,Owner,South,1,11
Yes,Male,Bachelor,395125,46,55,Yes,C,Married,Yes,Sales/Service,High,Owner,South,1,10
No,Female,Unknown,0,36,45,Yes,I,Married,No,Blue Collar,Low,Owner,South,3,4
No,Female,Some College,0,1,25,No,G,Single,No,Sales/Service,Low,Renter,South,7,1
No,Female,High school,173462,46,55,Yes,E,Married,No,Blue Collar,Low,Owner,Midwest,5,5
No,Female,High school,286353,46,55,No,C,Single,No,Sales/Service,Medium,Owner,Northeast,1,11
No,Male,Bachelor,198652,1,100,No,E,Single,No,Professional,Low,Owner,South,1,5
Yes,Female,Graduated,123377,56,65,Yes,F,Single,No,Professional,Low,Owner,South,2,1
No,Female,High school,87200,66,100,No,F,Single,No,Retired,Low,Owner,Midwest,4,3
No,Female,Some College,113632,56,65,Yes,F,Single,No,Professional,Low,Owner,Midwest,1,5
No,Male,Bachelor,143945,46,55,Yes,F,Married,No,Professional,Low,Owner,Midwest,6,6
Yes,Female,Bachelor,205781,36,45,Yes,C,Married,Yes,Sales/Service,Low,Owner,South,3,7
No,Female,Some College,333703,1,100,Yes,E,Married,No,Sales/Service,Low,Owner,Northeast,2,8
Yes,Male,Bachelor,0,36,45,Yes,C,Married,Yes,Professional,Low,Owner,Midwest,3,5
Yes,Male,High school,174814,36,45,Yes,F,Married,No,Sales/Service,Low,Renter,South,8,5
Yes,Male,Bachelor,816682,1,100,Yes,C,Married,Yes,Sales/Service,Low,Owner,South,1,6
No,Female,Bachelor,0,56,65,Yes,H,Single,No,Retired,Low,Renter,South,2,3
No,Female,High school,117027,26,35,Yes,G,Single,Yes,Sales/Service,Low,Owner,South,8,7
No,Female,Near high school,97440,1,100,No,G,Single,No,Sales/Service,Low,Renter,South,6,1
Yes,Male,Unknown,976912,1,100,Yes,B,Single,No,Others,Medium,Owner,Midwest,1,12
Yes,Male,Graduated,221836,56,65,Yes,I,Single,No,Professional,Medium,Owner,Midwest,2,6
No,Female,Some College,654177,36,45,No,E,Single,Yes,Sales/Service,Low,Renter,West,3,4
No,Female,Some College,308906,36,45,Yes,D,Single,No,Sales/Service,Low,Owner,West,6,2
No,Female,Near high school,0,1,100,Yes,F,Single,No,Sales/Service,Low,Renter,South,8,4
No,Male,Some College,167533,66,100,Yes,D,Married,No,Retired,Low,Owner,Northeast,2,7
Yes,Male,Some College,425590,26,35,No,C,Single,Yes,Sales/Service,Low,Owner,West,5,6
Yes,Female,Some College,199800,1,25,Yes,B,Single,No,Sales/Service,Low,Owner,Northeast,3,5
No,Male,Near high school,76590,26,35,No,E,Single,Yes,Professional,Low,Owner,Midwest,2,5
No,Male,Near high school,124488,56,65,No,G,Single,No,Others,Low,Renter,Midwest,7,2
No,Female,Some College,144724,1,100,Yes,C,Single,Yes,Sales/Service,Low,Renter,South,2,11
No,Female,High school,0,26,35,No,G,Married,No,Sales/Service,Low,Renter,South,6,3
No,Male,Some College,131781,1,100,No,G,Single,Yes,Blue Collar,Low,Renter,Midwest,9,4
No,Female,Some College,528006,1,25,Yes,C,Single,No,Professional,Low,Owner,West,1,7
No,Female,Some College,228464,1,100,Yes,F,Married,Yes,Sales/Service,Medium,Owner,West,3,2
No,Female,High school,0,46,55,Yes,G,Single,Yes,Professional,Low,Renter,South,2,2
No,Female,High school,0,56,65,Yes,G,Married,Yes,Sales/Service,Low,Owner,Northeast,7,2
No,Female,Some College,476766,66,100,No,E,Single,No,Retired,Low,Renter,West,3,6
No,Female,Graduated,0,36,45,Yes,J,Married,Yes,Professional,Low,Owner,South,2,5
Yes,Female,Bachelor,441995,36,45,No,B,Married,Yes,Professional,Low,Owner,South,1,5
No,Female,Some College,0,36,45,Yes,D,Single,No,Professional,Low,Renter,Northeast,6,2
Yes,Male,High school,580076,1,100,No,G,Single,No,Sales/Service,Low,Renter,West,2,5
Yes,Male,Bachelor,398720,46,55,Yes,C,Married,No,Sales/Service,Low,Owner,South,1,7
Yes,Male,Some College,130980,1,100,No,C,Married,No,Sales/Service,Low,Owner,South,8,5
No,Male,High school,0,46,55,Yes,E,Married,Yes,Blue Collar,Low,Renter,Midwest,8,5
Yes,Male,Graduated,1117250,56,65,No,B,Married,No,Professional,High,Owner,West,1,9
Yes,Male,Unknown,48160,1,100,Yes,F,Single,Yes,Others,Low,Owner,South,1,4
No,Female,Bachelor,184454,66,100,Yes,I,Single,No,Retired,Low,Owner,Midwest,2,4
Yes,Male,High school,298343,1,100,Yes,C,Married,Yes,Others,Low,Renter,West,7,4
Yes,Male,Graduated,506850,26,35,No,C,Married,Yes,Professional,High,Owner,Midwest,1,12
No,Male,Some College,379472,46,55,No,J,Married,Yes,Professional,Medium,Owner,West,1,5
No,Female,High school,119038,26,35,No,I,Married,Yes,Sales/Service,Low,Renter,South,5,5
No,Female,High school,0,1,25,No,G,Single,No,Sales/Service,Low,Renter,West,9,1
No,Female,Some College,242006,46,55,Yes,E,Married,No,Professional,Low,Renter,South,3,7
Yes,Female,Graduated,124260,26,35,No,E,Married,Yes,Professional,Low,Owner,Midwest,8,11
Yes,Female,Bachelor,90860,26,35,Yes,E,Married,Yes,Professional,Low,Renter,Midwest,6,5
No,Male,Unknown,530917,46,55,No,I,Married,No,Sales/Service,Low,Owner,Midwest,1,7
Yes,Male,Graduated,286288,36,45,Yes,E,Married,Yes,Professional,Low,Owner,West,1,6
No,Female,High school,629998,66,100,Yes,I,Married,No,Retired,Low,Owner,Midwest,2,3
No,Female,Graduated,194238,1,100,No,I,Single,No,Sales/Service,Low,Owner,South,2,5
No,Female,Unknown,206010,26,35,Yes,B,Married,No,Sales/Service,Low,Owner,Midwest,1,1
No,Male,Some College,484952,1,25,No,B,Single,No,Sales/Service,High,Owner,South,1,9
Yes,Male,Some College,309451,56,65,Yes,I,Married,Yes,Sales/Service,High,Owner,Northeast,5,6
Yes,Female,Bachelor,185131,26,35,Yes,C,Married,Yes,Blue Collar,Low,Owner,South,5,5
No,Female,Some College,345344,46,55,Yes,B,Married,Yes,Professional,Low,Owner,South,3,7
No,Female,High school,442400,56,65,Yes,D,Single,No,Retired,Low,Owner,South,1,8
Yes,Male,Bachelor,594819,56,65,Yes,C,Married,No,Professional,Low,Renter,Northeast,4,10
Yes,Female,Some College,1040405,1,100,No,C,Married,Yes,Professional,Low,Owner,West,1,10
No,Male,High school,0,66,100,Yes,A,Single,No,Sales/Service,Low,Renter,Northeast,2,5
Yes,Male,Bachelor,356397,56,65,Yes,B,Married,No,Professional,Medium,Owner,South,1,10
Yes,Female,Some College,315105,1,25,Yes,E,Married,No,Professional,High,Owner,South,3,6
Yes,Female,Some College,297851,46,55,Yes,C,Single,No,Sales/Service,High,Owner,Rest,1,5
Yes,Male,High school,282004,46,55,Yes,C,Married,No,Retired,Low,Owner,Midwest,1,6
No,Male,Some College,0,36,45,Yes,G,Single,Yes,Professional,Low,Renter,Midwest,8,3
Yes,Female,Bachelor,0,26,35,Yes,G,Single,No,Professional,Low,Renter,South,3,5
Yes,Female,Bachelor,168512,26,35,No,C,Married,Yes,Sales/Service,Low,Owner,South,4,5
Yes,Male,Near high school,503253,46,55,Yes,E,Married,Yes,Blue Collar,High,Owner,Northeast,3,6
No,Male,Some College,660965,1,100,No,G,Married,Yes,Others,Low,Renter,Northeast,7,7
Yes,Male,Bachelor,887216,36,45,Yes,C,Married,Yes,Professional,High,Owner,West,2,9
No,Male,Near high school,0,56,65,No,H,Single,No,Sales/Service,Low,Renter,Northeast,3,4
Yes,Male,High school,221902,56,65,Yes,B,Married,No,Professional,Low,Owner,Northeast,3,5
No,Female,Some College,0,46,55,Yes,E,Married,Yes,Blue Collar,Low,Renter,Midwest,5,3
Yes,Male,Some College,197056,36,45,No,E,Married,Yes,Sales/Service,Low,Renter,West,3,5
Yes,Male,Bachelor,145515,36,45,Yes,E,Married,Yes,Professional,Low,Owner,West,1,8
No,Female,Some College,311304,1,25,No,G,Single,Yes,Sales/Service,Low,Renter,West,6,5
Yes,Male,Some College,89925,46,55,Yes,F,Single,Yes,Blue Collar,Low,Owner,West,9,4
Yes,Female,Bachelor,255387,66,100,Yes,I,Married,No,Professional,Low,Owner,South,1,6
Yes,Female,Graduated,1011672,46,55,Yes,B,Single,Yes,Professional,High,Owner,South,1,5
No,Male,Graduated,476733,66,100,Yes,B,Married,No,Professional,Low,Owner,Midwest,1,9
Yes,Male,Unknown,533664,1,100,No,B,Married,No,Professional,High,Owner,West,6,8
Yes,Male,Bachelor,0,26,35,Yes,G,Married,No,Professional,Low,Renter,West,8,1
No,Female,Graduated,103593,46,55,No,F,Single,No,Sales/Service,Low,Owner,Midwest,2,5
Yes,Male,High school,348660,56,65,No,C,Married,No,Professional,High,Owner,South,2,8
No,Female,High school,0,46,55,Yes,J,Married,No,Blue Collar,Low,Owner,South,7,4
Yes,Male,Some College,326237,56,65,Yes,E,Single,No,Others,Low,Owner,South,2,5
Yes,Male,Bachelor,0,36,45,No,E,Married,Yes,Others,Low,Renter,South,8,6
No,Male,High school,102514,66,100,Yes,J,Single,No,Retired,Low,Owner,South,7,5
Yes,Male,Graduated,238012,26,35,Yes,C,Married,Yes,Professional,Medium,Owner,Midwest,1,6
Yes,Female,Graduated,333801,56,65,Yes,B,Single,No,Professional,Low,Owner,South,1,8
No,Female,Bachelor,282920,1,100,No,G,Single,No,Professional,Low,Renter,Midwest,8,11
No,Male,Near high school,0,1,100,No,A,Single,Yes,Blue Collar,Low,Renter,South,7,4
Yes,Female,Graduated,555464,26,35,Yes,B,Married,No,Professional,High,Owner,West,2,9
No,Male,High school,59644,26,35,No,D,Single,Yes,Blue Collar,Low,Owner,South,8,1
Yes,Male,Graduated,1856444,46,55,Yes,C,Married,No,Professional,Low,Owner,West,6,11
No,Female,High school,260640,1,100,Yes,B,Single,No,Others,Medium,Owner,West,5,4
No,Male,Near high school,205683,26,35,No,J,Married,No,Sales/Service,Medium,Owner,South,1,4
No,Male,Some College,0,1,100,Yes,E,Married,No,Professional,Low,Renter,Midwest,5,3
No,Male,Near high school,363460,66,100,Yes,B,Single,No,Sales/Service,Low,Owner,South,2,4
Yes,Male,Graduated,455729,36,45,Yes,C,Married,Yes,Professional,Low,Owner,South,1,10
No,Male,Some College,0,1,100,No,A,Married,No,Professional,Low,Renter,South,8,5
Yes,Male,Bachelor,898814,36,45,Yes,C,Married,Yes,Professional,High,Owner,West,1,6
Yes,Male,Bachelor,89560,36,45,Yes,A,Single,No,Sales/Service,Low,Owner,Midwest,1,1
No,Female,Some College,243603,26,35,Yes,D,Single,No,Sales/Service,Low,Owner,South,4,7
No,Female,Some College,239560,1,100,No,A,Single,No,Professional,Medium,Owner,West,2,5
Yes,Male,High school,222212,1,100,Yes,E,Married,Yes,Others,Medium,Owner,Northeast,3,7
No,Male,High school,131563,36,45,Yes,E,Married,No,Blue Collar,Low,Owner,Midwest,1,5
No,Female,Some College,173340,66,100,Yes,D,Married,No,Sales/Service,Low,Owner,South,2,5
Yes,Female,High school,129372,1,25,Yes,E,Married,Yes,Sales/Service,Low,Owner,Northeast,4,6
No,Male,High school,0,46,55,No,U,Married,No,Professional,Low,Renter,Midwest,0,21
No,Male,Some College,154453,1,100,Yes,F,Single,No,Professional,Low,Owner,West,2,6
No,Male,Some College,0,26,35,No,G,Single,No,Sales/Service,Low,Owner,West,3,2
Yes,Male,Bachelor,185300,36,45,Yes,C,Married,Yes,Blue Collar,Medium,Owner,Midwest,1,7
Yes,Male,Some College,1096867,56,65,Yes,B,Married,No,Professional,Medium,Owner,Northeast,1,8
No,Female,Near high school,502141,66,100,Yes,B,Single,No,Retired,Low,Owner,South,1,10
Yes,Female,Graduated,223450,56,65,Yes,B,Married,Yes,Professional,Low,Owner,Midwest,1,7
No,Male,Some College,0,1,100,No,F,Married,Yes,Blue Collar,Low,Renter,South,9,3
No,Male,Some College,261600,36,45,No,A,Married,No,Professional,Low,Renter,South,1,5
No,Female,High school,144664,46,55,Yes,E,Single,No,Professional,Low,Owner,Midwest,5,8
Yes,Male,Bachelor,561840,56,65,Yes,B,Married,No,Professional,Low,Owner,Northeast,1,6
Yes,Female,Bachelor,335403,1,100,Yes,C,Married,Yes,Sales/Service,Low,Renter,West,6,11
No,Female,Bachelor,412020,66,100,Yes,D,Married,No,Retired,Low,Owner,West,3,3
Yes,Male,Graduated,558494,56,65,Yes,B,Married,Yes,Professional,Low,Owner,South,1,12
Yes,Female,Bachelor,151467,26,35,Yes,C,Married,Yes,Sales/Service,Low,Owner,South,3,5
Yes,Male,Some College,1256225,1,100,Yes,B,Married,No,Sales/Service,High,Owner,West,1,12
Yes,Male,Some College,174400,1,25,Yes,B,Single,Yes,Sales/Service,Low,Owner,Midwest,2,6
No,Female,Near high school,0,26,35,No,E,Single,Yes,Sales/Service,Low,Renter,West,9,1
No,Female,Near high school,0,1,100,No,G,Single,No,Sales/Service,Low,Renter,West,9,3
Yes,Female,High school,106275,46,55,Yes,F,Married,No,Blue Collar,Low,Owner,Northeast,3,6
Yes,Male,Bachelor,0,56,65,No,E,Single,Yes,Professional,Low,Renter,Midwest,9,4
Yes,Female,Bachelor,428697,46,55,Yes,C,Married,Yes,Professional,Low,Owner,West,2,10
Yes,Male,Bachelor,500397,56,65,Yes,B,Married,No,Professional,High,Owner,South,3,8
No,Female,High school,67667,1,100,No,E,Married,Yes,Sales/Service,Low,Renter,Midwest,9,2
No,Male,High school,33190,1,25,Yes,F,Married,No,Others,Low,Owner,South,6,7
No,Male,Near high school,0,1,100,No,G,Single,Yes,Sales/Service,Low,Renter,South,9,6
No,Female,Some College,45344,66,100,Yes,I,Married,No,Sales/Service,Low,Owner,South,6,1
No,Female,Near high school,169059,1,100,Yes,F,Single,Yes,Sales/Service,Medium,Owner,Northeast,8,6
Yes,Male,Graduated,185300,46,55,Yes,C,Married,Yes,Professional,Low,Owner,Midwest,3,9
Yes,Male,High school,374960,46,55,No,E,Married,Yes,Sales/Service,Medium,Owner,Northeast,1,5
No,Male,Some College,119880,1,25,Yes,I,Single,No,Farm,Low,Owner,Midwest,4,7
Yes,Male,Graduated,220049,26,35,Yes,A,Single,No,Sales/Service,Medium,Owner,Northeast,2,1
Yes,Male,Some College,323435,46,55,Yes,C,Married,Yes,Professional,Low,Owner,South,1,6
No,Male,Some College,0,36,45,Yes,A,Single,Yes,Blue Collar,Low,Renter,West,6,6
No,Female,Some College,172209,56,65,No,D,Married,No,Professional,Low,Owner,South,1,5
No,Male,Bachelor,167097,26,35,No,B,Single,No,Blue Collar,Low,Owner,Northeast,5,6
Yes,Male,Graduated,273720,26,35,Yes,B,Single,No,Professional,Low,Owner,Northeast,1,6
No,Male,Near high school,798061,56,65,Yes,C,Married,Yes,Retired,Low,Renter,West,1,12
No,Female,Some College,271846,1,100,Yes,D,Single,No,Sales/Service,Low,Owner,South,1,8
Yes,Male,Bachelor,438016,46,55,Yes,B,Married,No,Professional,Low,Owner,Northeast,1,10
No,Male,Some College,158366,36,45,No,E,Married,Yes,Blue Collar,Low,Owner,Midwest,6,3
Yes,Female,High school,40439,56,65,Yes,B,Married,Yes,Sales/Service,Low,Owner,Midwest,2,5
Yes,Female,High school,384552,46,55,Yes,C,Single,No,Professional,Low,Owner,South,1,7
Yes,Male,Bachelor,142080,36,45,Yes,D,Single,No,Professional,Low,Owner,Midwest,1,7
No,Male,Graduated,354032,46,55,Yes,D,Married,No,Blue Collar,Medium,Owner,South,1,3
No,Female,Bachelor,153802,26,35,No,C,Married,Yes,Professional,Low,Renter,South,3,5
No,Female,High school,0,1,25,No,G,Single,No,Sales/Service,Low,Renter,West,3,4
No,Female,Some College,261491,46,55,No,H,Single,Yes,Sales/Service,Low,Owner,West,6,5
Yes,Female,High school,0,46,55,Yes,F,Single,Yes,Sales/Service,Low,Owner,South,2,3
No,Male,Near high school,549360,46,55,No,F,Married,Yes,Blue Collar,High,Owner,West,2,4
Yes,Male,Graduated,512300,26,35,Yes,C,Single,Yes,Professional,High,Owner,West,1,6
No,Male,Some College,166116,26,35,Yes,C,Married,Yes,Sales/Service,Low,Renter,Midwest,3,5
No,Female,Bachelor,298551,56,65,Yes,I,Married,Yes,Professional,High,Owner,South,2,1
No,Female,Graduated,776265,36,45,Yes,C,Married,Yes,Professional,Low,Renter,Northeast,1,10
No,Male,Near high school,170040,36,45,No,G,Single,Yes,Blue Collar,Medium,Owner,West,7,2
Yes,Male,High school,276347,26,35,Yes,F,Single,Yes,Blue Collar,Low,Owner,South,3,5
Yes,Male,Some College,1019389,36,45,Yes,C,Single,Yes,Professional,Low,Owner,South,1,8
Yes,Male,Some College,575356,1,25,No,C,Single,Yes,Professional,Medium,Owner,West,3,7
Yes,Male,Graduated,282582,1,100,Yes,B,Single,No,Sales/Service,Low,Owner,Midwest,3,7
Yes,Female,High school,113076,1,100,Yes,F,Single,No,Others,Low,Owner,Midwest,3,5
No,Female,High school,258918,66,100,Yes,E,Single,No,Retired,Low,Owner,South,2,5
No,Male,Bachelor,91233,36,45,Yes,J,Married,Yes,Blue Collar,Low,Owner,Midwest,5,4
Yes,Male,Unknown,0,1,100,Yes,E,Single,Yes,Professional,Low,Renter,Northeast,2,7
Yes,Female,Bachelor,306944,56,65,Yes,B,Single,No,Professional,Medium,Owner,South,2,6
Yes,Male,Graduated,350020,26,35,No,E,Married,Yes,Blue Collar,High,Owner,Northeast,3,5
No,Female,Some College,0,26,35,Yes,G,Single,No,Sales/Service,Low,Renter,West,5,1
No,Female,Some College,438915,66,100,No,D,Married,No,Retired,Low,Owner,South,2,1
No,Female,High school,0,36,45,No,F,Married,No,Others,Low,Owner,South,8,6
No,Female,Near high school,0,1,100,No,G,Single,Yes,Retired,Low,Renter,South,9,2
No,Male,Bachelor,342129,26,35,Yes,E,Single,Yes,Blue Collar,Low,Owner,Northeast,3,4
No,Male,Some College,386280,36,45,No,C,Married,Yes,Blue Collar,Low,Owner,Midwest,1,7
No,Male,Graduated,238928,66,100,Yes,B,Married,No,Retired,Low,Owner,Midwest,2,7
Yes,Female,Near high school,568980,36,45,Yes,B,Married,No,Professional,High,Owner,Midwest,1,9
No,Female,Bachelor,215820,36,45,Yes,B,Married,Yes,Blue Collar,Low,Owner,South,4,6
Yes,Female,Bachelor,496386,26,35,Yes,B,Single,No,Sales/Service,Low,Owner,South,1,5
Yes,Male,Some College,95462,46,55,No,F,Single,No,Professional,Low,Owner,Midwest,8,3
Yes,Male,Bachelor,417644,56,65,Yes,B,Married,No,Sales/Service,Medium,Owner,Northeast,1,11
No,Male,Some College,283015,36,45,No,E,Married,No,Blue Collar,Low,Renter,South,3,7
Yes,Female,Some College,155325,1,100,Yes,F,Married,Yes,Sales/Service,Low,Renter,Midwest,7,4
No,Male,High school,83930,46,55,No,I,Married,No,Others,Low,Owner,Midwest,7,5
No,Male,High school,414799,46,55,No,E,Single,No,Blue Collar,Low,Owner,Midwest,2,2
Yes,Male,Bachelor,252880,36,45,Yes,G,Single,No,Blue Collar,Low,Renter,West,5,8
No,Male,High school,0,66,100,No,D,Married,No,Retired,Low,Owner,Northeast,2,8
Yes,Male,High school,0,1,100,No,G,Single,No,Sales/Service,Low,Renter,Midwest,9,3
Yes,Female,Near high school,221815,46,55,Yes,E,Married,Yes,Professional,Medium,Owner,South,1,6
Yes,Female,Bachelor,275900,46,55,Yes,C,Married,Yes,Professional,Low,Owner,West,3,5
No,Female,High school,113220,66,100,Yes,B,Single,No,Retired,Low,Owner,South,2,7
No,Female,High school,113932,26,35,Yes,E,Single,No,Sales/Service,Low,Owner,Midwest,5,4
Yes,Female,Graduated,117022,56,65,Yes,E,Married,No,Retired,Low,Owner,South,3,5
No,Female,Graduated,177125,1,100,No,F,Single,No,Sales/Service,Medium,Owner,West,7,7
No,Female,Graduated,0,26,35,No,F,Married,Yes,Others,Low,Owner,Midwest,4,5
Yes,Female,Bachelor,299303,1,25,Yes,C,Single,Yes,Professional,High,Owner,South,1,7
Yes,Male,Near high school,1064548,26,35,No,B,Married,No,Sales/Service,High,Owner,West,1,12
No,Female,Some College,599500,1,25,Yes,B,Single,No,Blue Collar,High,Owner,West,1,6
No,Male,Near high school,174356,56,65,No,E,Single,No,Others,Low,Owner,South,2,4
No,Male,Graduated,150318,26,35,Yes,E,Married,No,Others,Low,Renter,West,8,5
No,Female,High school,0,46,55,No,D,Single,No,Others,Low,Renter,West,7,4
Yes,Male,High school,197072,56,65,Yes,F,Single,Yes,Sales/Service,Medium,Owner,West,7,6
No,Female,Some College,159706,46,55,Yes,D,Single,No,Professional,Low,Owner,South,3,2
No,Female,High school,321942,46,55,Yes,F,Single,Yes,Sales/Service,Low,Renter,Northeast,3,4
Yes,Male,Graduated,548379,46,55,Yes,B,Married,No,Professional,Low,Owner,Midwest,2,10
Yes,Male,Graduated,1096137,26,35,Yes,C,Married,Yes,Blue Collar,High,Owner,Midwest,1,7
No,Female,High school,0,1,100,Yes,C,Married,No,Sales/Service,Low,Owner,West,9,5
Yes,Male,Some College,0,56,65,Yes,E,Single,No,Professional,Low,Renter,Northeast,3,2
No,Female,Near high school,23805,66,100,Yes,G,Single,No,Retired,Low,Renter,Northeast,4,4
No,Male,Some College,0,46,55,Yes,E,Married,Yes,Professional,Low,Owner,Midwest,1,5
Yes,Female,High school,357116,46,55,Yes,C,Married,Yes,Sales/Service,Medium,Owner,Midwest,2,8
Yes,Male,Graduated,507405,46,55,Yes,C,Married,Yes,Professional,Medium,Owner,South,1,10
